Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001648s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001099s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001540s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.000908s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001372s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001525s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001290s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001222s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001519s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001557s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001329s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001045s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001496s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001406s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001505s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001306s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001209s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001622s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001484s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001660s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001493s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001190s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001495s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001518s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001327s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000941s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001455s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001555s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001304s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001562s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001169s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001486s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001037s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001472s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001420s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001563s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001528s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001060s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001460s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001483s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001365s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001057s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001382s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001421s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001202s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001020s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001588s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001509s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001529s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001510s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001056s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001186s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001471s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001416s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.000938s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001413s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001631s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001617s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001614s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001674s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001416s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001171s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001553s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001417s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001652s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001631s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001240s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001608s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001545s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001590s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001644s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001901s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001598s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001649s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001552s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001606s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001079s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001584s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001611s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001620s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001598s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000808s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001372s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001608s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001195s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001568s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001611s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001469s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001116s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001582s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001211s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001331s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.000767s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001577s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001679s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001187s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001550s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001438s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001602s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001711s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001561s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001572s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001031s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001339s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001449s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001646s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001745s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001576s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001103s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001451s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001683s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001610s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001610s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001634s
